procs|alg|input|items|utc|ts|duration|func
6|dummy_sort|random|100|14 Jun 2019 21:30:26.919881|1560547826919903|0.00000000|frag
6|dummy_sort|random|100|14 Jun 2019 21:30:26.920237|1560547826920257|0.00000000|rpcpmap
6|dummy_sort|random|100|14 Jun 2019 21:30:26.920438|1560547826920458|0.00000000|merge
6|dummy_sort|random|100|14 Jun 2019 21:30:26.919841|1560547826919871|0.001000|all
6|dummy_sort|random|1000|14 Jun 2019 21:30:26.920991|1560547826921007|0.00000000|frag
6|dummy_sort|random|1000|14 Jun 2019 21:30:26.921516|1560547826921535|0.00100000|rpcpmap
6|dummy_sort|random|1000|14 Jun 2019 21:30:26.921830|1560547826921851|0.00000000|merge
6|dummy_sort|random|1000|14 Jun 2019 21:30:26.920916|1560547826920938|0.001000|all
6|dummy_sort|random|10000|14 Jun 2019 21:30:26.923015|1560547826923080|0.00000000|frag
6|dummy_sort|random|10000|14 Jun 2019 21:30:26.925478|1560547826925512|0.00300000|rpcpmap
6|dummy_sort|random|10000|14 Jun 2019 21:30:26.928301|1560547826928351|0.00200000|merge
6|dummy_sort|random|10000|14 Jun 2019 21:30:26.922484|1560547826922506|0.006000|all
6|dummy_sort|random|100000|14 Jun 2019 21:30:26.943976|1560547826944009|0.00700000|frag
6|dummy_sort|random|100000|14 Jun 2019 21:30:26.966458|1560547826966504|0.02200000|rpcpmap
6|dummy_sort|random|100000|14 Jun 2019 21:30:26.991300|1560547826991366|0.02400000|merge
6|dummy_sort|random|100000|14 Jun 2019 21:30:26.936068|1560547826936119|0.056000|all
6|dummy_sort|random|1000000|14 Jun 2019 21:30:27.142652|1560547827142691|0.08400000|frag
6|dummy_sort|random|1000000|14 Jun 2019 21:30:27.380054|1560547827380121|0.23700000|rpcpmap
6|dummy_sort|random|1000000|14 Jun 2019 21:30:27.604965|1560547827605004|0.22400000|merge
6|dummy_sort|random|1000000|14 Jun 2019 21:30:27.052473|1560547827052533|0.552000|all
6|quicksort_random|random|10|14 Jun 2019 21:30:28.302919|1560547828302950|0.00000000|frag
6|quicksort_random|random|10|14 Jun 2019 21:30:28.303457|1560547828303487|0.00000000|rpcpmap
6|quicksort_random|random|10|14 Jun 2019 21:30:28.303969|1560547828304025|0.00000000|merge
6|quicksort_random|random|10|14 Jun 2019 21:30:28.302854|1560547828302909|0.001000|all
6|quicksort_random|random|100|14 Jun 2019 21:30:28.304500|1560547828304522|0.00000000|frag
6|quicksort_random|random|100|14 Jun 2019 21:30:28.305049|1560547828305077|0.00000000|rpcpmap
6|quicksort_random|random|100|14 Jun 2019 21:30:28.305497|1560547828305524|0.00100000|merge
6|quicksort_random|random|100|14 Jun 2019 21:30:28.304463|1560547828304490|0.001000|all
6|quicksort_random|random|1000|14 Jun 2019 21:30:28.306419|1560547828306435|0.00000000|frag
6|quicksort_random|random|1000|14 Jun 2019 21:30:28.308027|1560547828308056|0.00100000|rpcpmap
6|quicksort_random|random|1000|14 Jun 2019 21:30:28.309839|1560547828309859|0.00200000|merge
6|quicksort_random|random|1000|14 Jun 2019 21:30:28.306305|1560547828306364|0.003000|all
6|quicksort_random|random|10000|14 Jun 2019 21:30:28.311146|1560547828311166|0.00000000|frag
6|quicksort_random|random|10000|14 Jun 2019 21:30:28.323924|1560547828323991|0.01200000|rpcpmap
6|quicksort_random|random|10000|14 Jun 2019 21:30:28.354000|1560547828354056|0.02900000|merge
6|quicksort_random|random|10000|14 Jun 2019 21:30:28.310582|1560547828310611|0.044000|all
6|quicksort_random|random|100000|14 Jun 2019 21:30:28.371698|1560547828371743|0.00900000|frag
6|quicksort_random|random|100000|14 Jun 2019 21:30:28.468415|1560547828468481|0.09700000|rpcpmap
6|quicksort_random|random|100000|14 Jun 2019 21:30:28.797692|1560547828797738|0.32600000|merge
6|quicksort_random|random|100000|14 Jun 2019 21:30:28.362032|1560547828362103|0.436000|all
6|quicksort_random|random|1000000|14 Jun 2019 21:30:28.938745|1560547828938781|0.08400000|frag
6|quicksort_random|random|1000000|14 Jun 2019 21:30:30.132864|1560547830132909|1.19400000|rpcpmap
6|quicksort_random|random|1000000|14 Jun 2019 21:30:34.003618|1560547834003679|3.87000000|merge
6|quicksort_random|random|1000000|14 Jun 2019 21:30:28.848573|1560547828848615|5.155000|all
5|dummy_sort|random|10|14 Jun 2019 21:30:34.763723|1560547834763773|0.00000000|frag
5|dummy_sort|random|10|14 Jun 2019 21:30:34.764431|1560547834764489|0.00100000|rpcpmap
5|dummy_sort|random|10|14 Jun 2019 21:30:34.765023|1560547834765081|0.00000000|merge
5|dummy_sort|random|10|14 Jun 2019 21:30:34.763644|1560547834763711|0.002000|all
5|dummy_sort|random|100|14 Jun 2019 21:30:34.766172|1560547834766221|0.00000000|frag
5|dummy_sort|random|100|14 Jun 2019 21:30:34.766828|1560547834766886|0.00000000|rpcpmap
5|dummy_sort|random|100|14 Jun 2019 21:30:34.767322|1560547834767378|0.00000000|merge
5|dummy_sort|random|100|14 Jun 2019 21:30:34.766097|1560547834766155|0.002000|all
5|dummy_sort|random|1000|14 Jun 2019 21:30:34.768502|1560547834768552|0.00000000|frag
5|dummy_sort|random|1000|14 Jun 2019 21:30:34.769286|1560547834769307|0.00000000|rpcpmap
5|dummy_sort|random|1000|14 Jun 2019 21:30:34.769666|1560547834769693|0.00000000|merge
